Q2_center	xbj_center	Content
2.825	0.2025	40765.7
2.875	0.2025	46574.7
2.875	0.2075	152431
2.925	0.2075	149319
2.925	0.2125	108212
2.975	0.2125	479962
2.975	0.2175	194444
2.975	0.2225	4384.44
3.025	0.2125	925513
3.025	0.2175	2.70963e+06
3.025	0.2225	311075
3.025	0.2275	10368.8
3.075	0.2175	3.2868e+06
3.075	0.2225	3.97139e+06
3.075	0.2275	282506
3.075	0.2325	8420.05
3.125	0.2225	6.12181e+06
3.125	0.2275	5.1518e+06
3.125	0.2325	226854
3.125	0.2375	57918.2
3.175	0.2225	452381
3.175	0.2275	9.37685e+06
3.175	0.2325	5.97745e+06
3.175	0.2375	373813
3.175	0.2425	164395
3.225	0.2275	4.18242e+06
3.225	0.2325	1.33396e+07
3.225	0.2375	7.079e+06
3.225	0.2425	624569
3.225	0.2475	120039
3.275	0.2325	1.08104e+07
3.275	0.2375	1.40353e+07
3.275	0.2425	7.30112e+06
3.275	0.2475	883702
3.275	0.2525	269821
3.325	0.2325	196188
3.325	0.2375	1.65614e+07
3.325	0.2425	1.3703e+07
3.325	0.2475	7.42278e+06
3.325	0.2525	1.57939e+06
3.325	0.2575	280360
3.325	0.2625	13467
3.375	0.2375	2.47619e+06
3.375	0.2425	1.98615e+07
3.375	0.2475	1.38789e+07
3.375	0.2525	8.25868e+06
3.375	0.2575	1.94106e+06
3.375	0.2625	329526
3.375	0.2675	103342
3.425	0.2425	8.45637e+06
3.425	0.2475	2.00556e+07
3.425	0.2525	1.33498e+07
3.425	0.2575	8.17859e+06
3.425	0.2625	2.87629e+06
3.425	0.2675	370751
3.425	0.2725	95327.4
3.475	0.2475	1.56527e+07
3.475	0.2525	1.95171e+07
3.475	0.2575	1.40174e+07
3.475	0.2625	8.2597e+06
3.475	0.2675	3.61583e+06
3.475	0.2725	397422
3.475	0.2775	150162
3.475	0.2825	11977
3.525	0.2475	1.30305e+06
3.525	0.2525	2.11962e+07
3.525	0.2575	1.88401e+07
3.525	0.2625	1.4788e+07
3.525	0.2675	7.80633e+06
3.525	0.2725	5.01419e+06
3.525	0.2775	796184
3.525	0.2825	179371
3.525	0.2875	41351.7
3.575	0.2525	5.4037e+06
3.575	0.2575	2.35503e+07
3.575	0.2625	1.83341e+07
3.575	0.2675	1.46106e+07
3.575	0.2725	7.74299e+06
3.575	0.2775	6.26782e+06
3.575	0.2825	1.19327e+06
3.575	0.2875	233027
3.575	0.2925	92999.6
3.625	0.2575	1.2558e+07
3.625	0.2625	2.34872e+07
3.625	0.2675	1.8547e+07
3.625	0.2725	1.44477e+07
3.625	0.2775	8.51527e+06
3.625	0.2825	6.54817e+06
3.625	0.2875	2.15376e+06
3.625	0.2925	235663
3.625	0.2975	128862
3.625	0.3025	10073.2
3.675	0.2575	339956
3.675	0.2625	2.0045e+07
3.675	0.2675	2.30498e+07
3.675	0.2725	1.86448e+07
3.675	0.2775	1.41553e+07
3.675	0.2825	9.70076e+06
3.675	0.2875	6.32265e+06
3.675	0.2925	3.2004e+06
3.675	0.2975	340633
3.675	0.3025	148369
3.675	0.3075	28691.5
3.725	0.2625	3.16425e+06
3.725	0.2675	2.40808e+07
3.725	0.2725	2.14717e+07
3.725	0.2775	1.80814e+07
3.725	0.2825	1.37741e+07
3.725	0.2875	1.01701e+07
3.725	0.2925	6.0376e+06
3.725	0.2975	4.41129e+06
3.725	0.3025	776330
3.725	0.3075	156725
3.725	0.3125	122221
3.725	0.3175	8787.71
3.775	0.2675	8.59209e+06
3.775	0.2725	2.44286e+07
3.775	0.2775	2.06249e+07
3.775	0.2825	1.7417e+07
3.775	0.2875	1.35092e+07
3.775	0.2925	1.05858e+07
3.775	0.2975	6.07034e+06
3.775	0.3025	4.88932e+06
3.775	0.3075	1.55303e+06
3.775	0.3125	155018
3.775	0.3175	247431
3.775	0.3225	90345.3
3.825	0.2725	1.53238e+07
3.825	0.2775	2.28962e+07
3.825	0.2825	1.96022e+07
3.825	0.2875	1.75988e+07
3.825	0.2925	1.29929e+07
3.825	0.2975	1.08584e+07
3.825	0.3025	6.47577e+06
3.825	0.3075	4.89635e+06
3.825	0.3125	2.46398e+06
3.825	0.3175	319162
3.825	0.3225	318021
3.825	0.3275	169367
3.825	0.3325	4945.69
3.875	0.2725	1.34686e+06
3.875	0.2775	1.9438e+07
3.875	0.2825	2.12913e+07
3.875	0.2875	1.87486e+07
3.875	0.2925	1.72128e+07
3.875	0.2975	1.27718e+07
3.875	0.3025	1.10918e+07
3.875	0.3075	7.73094e+06
3.875	0.3125	4.42151e+06
3.875	0.3175	3.55542e+06
3.875	0.3225	973718
3.875	0.3275	338929
3.875	0.3325	235988
3.875	0.3375	56206
3.925	0.2775	4.8922e+06
3.925	0.2825	2.01489e+07
3.925	0.2875	2.01192e+07
3.925	0.2925	1.78958e+07
3.925	0.2975	1.6589e+07
3.925	0.3025	1.29985e+07
3.925	0.3075	1.06334e+07
3.925	0.3125	8.81085e+06
3.925	0.3175	4.49269e+06
3.925	0.3225	4.2454e+06
3.925	0.3275	2.28971e+06
3.925	0.3325	353486
3.925	0.3375	258189
3.925	0.3425	87405.5
3.925	0.3475	17004.8
3.975	0.2825	1.01993e+07
3.975	0.2875	1.93274e+07
3.975	0.2925	1.89187e+07
3.975	0.2975	1.75985e+07
3.975	0.3025	1.59229e+07
3.975	0.3075	1.33327e+07
3.975	0.3125	1.04747e+07
3.975	0.3175	9.61457e+06
3.975	0.3225	4.88961e+06
3.975	0.3275	4.29638e+06
3.975	0.3325	3.3406e+06
3.975	0.3375	643316
3.975	0.3425	235843
3.975	0.3475	174272
3.975	0.3525	126359
3.975	0.3575	323.556
4.025	0.2825	354454
4.025	0.2875	1.46937e+07
4.025	0.2925	1.85507e+07
4.025	0.2975	1.78857e+07
4.025	0.3025	1.73373e+07
4.025	0.3075	1.51234e+07
4.025	0.3125	1.34268e+07
4.025	0.3175	1.05427e+07
4.025	0.3225	9.36458e+06
4.025	0.3275	5.82495e+06
4.025	0.3325	4.28128e+06
4.025	0.3375	3.5164e+06
4.025	0.3425	1.55631e+06
4.025	0.3475	221300
4.025	0.3525	232862
4.025	0.3575	156165
4.025	0.3625	32260
4.075	0.2875	2.64814e+06
4.075	0.2925	1.70821e+07
4.075	0.2975	1.73905e+07
4.075	0.3025	1.72013e+07
4.075	0.3075	1.63747e+07
4.075	0.3125	1.39435e+07
4.075	0.3175	1.33937e+07
4.075	0.3225	1.06871e+07
4.075	0.3275	8.93952e+06
4.075	0.3325	7.23783e+06
4.075	0.3375	4.48671e+06
4.075	0.3425	3.44284e+06
4.075	0.3475	2.5503e+06
4.075	0.3525	561324
4.075	0.3575	240556
4.075	0.3625	174509
4.075	0.3675	73350.1
4.075	0.3725	8813.82
4.125	0.2925	6.70435e+06
4.125	0.2975	1.70604e+07
4.125	0.3025	1.67985e+07
4.125	0.3075	1.6694e+07
4.125	0.3125	1.56975e+07
4.125	0.3175	1.38137e+07
4.125	0.3225	1.33135e+07
4.125	0.3275	1.12078e+07
4.125	0.3325	8.209e+06
4.125	0.3375	7.60414e+06
4.125	0.3425	4.99164e+06
4.125	0.3475	3.23145e+06
4.125	0.3525	3.13312e+06
4.125	0.3575	1.6308e+06
4.125	0.3625	273210
4.125	0.3675	161731
4.125	0.3725	139117
4.125	0.3775	66316.2
4.125	0.3825	796.753
4.175	0.2925	13389
4.175	0.2975	1.13181e+07
4.175	0.3025	1.6224e+07
4.175	0.3075	1.60303e+07
4.175	0.3125	1.57451e+07
4.175	0.3175	1.49847e+07
4.175	0.3225	1.37932e+07
4.175	0.3275	1.25323e+07
4.175	0.3325	1.14217e+07
4.175	0.3375	7.88713e+06
4.175	0.3425	7.65824e+06
4.175	0.3475	5.49924e+06
4.175	0.3525	3.18549e+06
4.175	0.3575	3.24006e+06
4.175	0.3625	2.8343e+06
4.175	0.3675	764284
4.175	0.3725	148844
4.175	0.3775	158926
4.175	0.3825	155763
4.175	0.3875	32460.5
4.225	0.2975	1.13056e+06
4.225	0.3025	1.40777e+07
4.225	0.3075	1.53016e+07
4.225	0.3125	1.53277e+07
4.225	0.3175	1.47643e+07
4.225	0.3225	1.43669e+07
4.225	0.3275	1.34869e+07
4.225	0.3325	1.1956e+07
4.225	0.3375	1.09303e+07
4.225	0.3425	8.37153e+06
4.225	0.3475	7.06374e+06
4.225	0.3525	6e+06
4.225	0.3575	3.6367e+06
4.225	0.3625	3.14708e+06
4.225	0.3675	3.36054e+06
4.225	0.3725	1.62562e+06
4.225	0.3775	213254
4.225	0.3825	157662
4.225	0.3875	178157
4.225	0.3925	69581.1
4.225	0.3975	19621.5
4.275	0.3025	3.95208e+06
4.275	0.3075	1.4907e+07
4.275	0.3125	1.44136e+07
4.275	0.3175	1.44762e+07
4.275	0.3225	1.3721e+07
4.275	0.3275	1.37837e+07
4.275	0.3325	1.31567e+07
4.275	0.3375	1.16233e+07
4.275	0.3425	1.07018e+07
4.275	0.3475	8.90314e+06
4.275	0.3525	6.74139e+06
4.275	0.3575	6.19078e+06
4.275	0.3625	4.54658e+06
4.275	0.3675	3.11965e+06
4.275	0.3725	3.17473e+06
4.275	0.3775	2.37016e+06
4.275	0.3825	842679
4.275	0.3875	154910
4.275	0.3925	168332
4.275	0.3975	111707
4.275	0.4025	65549
4.275	0.4075	6394.25
